,Unnamed: 0_x,title_x,year_x,time,type_x,Unnamed: 0_y,title_y,year_y,hour,type_y
8287,,,,41208,,4637.0,sexualsounds,2013.0,4.0,like
8288,,,,41204,,4638.0,sexualsounds,2013.0,4.0,like
8289,,,,41136,,4639.0,sexualsounds,2013.0,4.0,like
8290,,,,41107,,4640.0,sexualsounds,2013.0,4.0,like
8291,,,,41059,,4641.0,sexualsounds,2013.0,4.0,like
8292,,,,41017,,4642.0,sexualsounds,2013.0,4.0,like
8293,,,,41017,,12588.0,summerferguson,2016.0,4.0,like
8294,,,,41013,,4643.0,sexualsounds,2013.0,4.0,like
8295,,,,41013,,8977.0,shopfrankiephoenix,2016.0,4.0,like
8296,,,,41009,,4644.0,sexualsounds,2013.0,4.0,like
8297,,,,41003,,4645.0,sexualsounds,2013.0,4.0,like
8298,,,,40945,,4646.0,sexualsounds,2013.0,4.0,like
8299,,,,40940,,4647.0,sexualsounds,2013.0,4.0,like
8300,,,,40940,,8485.0,100percentpure,2016.0,4.0,like
8301,,,,40934,,4648.0,sexualsounds,2013.0,4.0,like
8302,,,,40916,,4650.0,sexualsounds,2013.0,4.0,like
8303,,,,40903,,4651.0,sexualsounds,2013.0,4.0,like
8304,,,,40903,,8077.0,yodeling.sloth,2015.0,4.0,like
8305,,,,40903,,8603.0,horoscopes,2016.0,4.0,like
8306,,,,40846,,4652.0,sexualsounds,2013.0,4.0,like
8307,,,,40834,,4653.0,sexualsounds,2013.0,4.0,like
8308,,,,40834,,9651.0,rickrowling,2016.0,4.0,like
8309,,,,40834,,16154.0,mercyforanimals,2017.0,4.0,like
8310,,,,40834,,34220.0,worldathletics,2021.0,4.0,like
8311,,,,40834,,39273.0,elastichear,2022.0,4.0,like
8312,,,,40834,,43636.0,mariners,2022.0,4.0,like
8313,,,,40821,,4654.0,sexualsounds,2013.0,4.0,like
8314,,,,40821,,7478.0,teenstagram,2014.0,4.0,like
8315,,,,40821,,43499.0,rubylyn_,2022.0,4.0,like
8316,,,,40811,,4655.0,sexualsounds,2013.0,4.0,like
8317,,,,40811,,23374.0,reinajsilva,2019.0,4.0,like
8318,,,,40807,,4656.0,sexualsounds,2013.0,4.0,like
8319,,,,40807,,33851.0,mere.kr,2021.0,4.0,like
8320,,,,40807,,35008.0,trixiemattel,2021.0,4.0,like
8321,,,,40803,,4657.0,sexualsounds,2013.0,4.0,like
8322,,,,40745,,4658.0,sexualsounds,2013.0,4.0,like
8323,,,,40708,,4659.0,sexualsounds,2013.0,4.0,like
8324,,,,40708,,7045.0,theseanodonnell,2014.0,4.0,like
8325,,,,40708,,14520.0,alphabaetical,2017.0,4.0,like
8326,,,,40703,,4660.0,sexualsounds,2013.0,4.0,like
8327,,,,40703,,18703.0,skylarrosee,2019.0,4.0,like
8328,,,,40634,,4661.0,sexualsounds,2013.0,4.0,like
8329,,,,40634,,13489.0,puncrastination,2017.0,4.0,like
8330,,,,40634,,25742.0,pepamack,2020.0,4.0,like
8331,,,,40617,,4662.0,sexualsounds,2013.0,4.0,like
8332,,,,40607,,4663.0,sexualsounds,2013.0,4.0,like
8333,,,,40607,,7047.0,boycutter_,2014.0,4.0,like
8334,,,,40602,,4664.0,sexualsounds,2013.0,4.0,like
8335,,,,40602,,6477.0,ashtonirwin94,2014.0,4.0,like
8336,,,,40602,,17614.0,aryiafarnworth,2018.0,4.0,like
8337,,,,40602,,32701.0,hypebaebeauty,2021.0,4.0,like
8338,,,,40551,,4666.0,sexualsounds,2013.0,4.0,like
8339,,,,40551,,8102.0,justinbieber,2015.0,4.0,like
8340,,,,40551,,10230.0,laurenkellymiranda,2016.0,4.0,like
8341,,,,40544,,4667.0,sexualsounds,2013.0,4.0,like
8342,,,,40536,,4668.0,sexualsounds,2013.0,4.0,like
8343,,,,40525,,4669.0,sexualsounds,2013.0,4.0,like
8344,,,,40525,,36469.0,frogxinsta,2021.0,4.0,like
8345,,,,40519,,4670.0,sexualsounds,2013.0,4.0,like
8346,,,,40519,,34805.0,briknopf,2021.0,4.0,like
8347,,,,40456,,4671.0,sexualsounds,2013.0,4.0,like
8348,,,,40456,,8606.0,textpostfeminist,2016.0,4.0,like
8349,,,,40456,,14609.0,sophieeefoug,2017.0,4.0,like
8350,,,,40412,,4672.0,sexualsounds,2013.0,4.0,like
8351,,,,40351,,4673.0,sexualsounds,2013.0,4.0,like
8352,,,,40344,,4674.0,sexualsounds,2013.0,4.0,like
8353,,,,40344,,15538.0,hannahsg_7,2017.0,4.0,like
8354,,,,40344,,33471.0,brandymelvilleusa,2021.0,4.0,like
8355,,,,40337,,4675.0,sexualsounds,2013.0,4.0,like
8356,,,,40322,,4676.0,sexualsounds,2013.0,4.0,like
8357,,,,40322,,30875.0,dudewithsign,2020.0,4.0,like
8358,,,,40306,,4677.0,sexualsounds,2013.0,4.0,like
8359,,,,40306,,7883.0,freepeople,2015.0,4.0,like
8360,,,,40256,,4679.0,sexualsounds,2013.0,4.0,like
8361,,,,40249,,4680.0,sexualsounds,2013.0,4.0,like
8362,,,,40249,,6399.0,christmaslightsglisten,2014.0,4.0,like
8363,,,,40249,,28471.0,sierrafurtado,2020.0,4.0,like
